parent_speech,counter_speech,response,original_cn_id,original_hateSpeech,original_counterSpeech,original_hsType,original_hsSubType,original_cnType,original_age,original_gender,original_educationLevel
neutral speech,neutral speech,"Neutral speech, because it is simply stating a fact about a school's actions without promoting hate or inciting violence towards any specific group.--Neutral speech, because it is providing a fair assessment of the OFSTED report without promoting hate or inciting violence towards any specific group.",ENT1ST0001HS0033CN000021,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",Islamophobia,crimes,facts,61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because the statement simply describes a situation where girls and boys are separated in a school in Birmingham without promoting hate, violence, or discrimination based on any specific characteristic mentioned in the definitions.--Neutral speech, because the statement is discussing a report and expressing a viewpoint on the focus of the report without promoting hate, violence, or discrimination based on any specific characteristic mentioned in the definitions.",ENT1ST0001HS0033CN000021P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",Islamophobia,crimes,facts,61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because the speech simply reports factual information about a school in Birmingham separating girls from boys based on an Ofsted report and mentions that such actions were deemed illegal by a high court in 2017. There is no promotion of hate, violence, or discrimination based on any characteristic mentioned in the definitions.--Neutral speech, because the speech is providing a fair assessment of the OFSTED report, highlighting its focus on lack of enforcement rather than targeting any specific faith. There is no expression of hate, violence, or discrimination based on any characteristic mentioned in the definitions.",ENT1ST0001HS0033CN000021P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",Islamophobia,crimes,facts,61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because it is simply reporting factual information about a school's actions without promoting hate, violence, or discrimination based on any protected characteristics.--Neutral speech, because it is analyzing and discussing the issue of gender segregation in faith schools based on factual information and not promoting hate or discrimination towards any specific group.",ENT1ST0001HS0033CN000022,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",Islamophobia,crimes,facts,61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because the statement simply describes a situation where girls and boys are separated in a school without expressing hate, inciting violence, or promoting harm based on any specific characteristic.--Neutral speech, because the statement is discussing a factual observation about gender segregation in schools without expressing hate, inciting violence, or promoting harm based on any specific characteristic.",ENT1ST0001HS0033CN000022P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",Islamophobia,crimes,facts,61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because the statement simply reports a factual observation about a school's practice of separating girls from boys, referencing an Ofsted report and a high court ruling. It does not express hate, incite violence, or promote harm based on any protected characteristics.--Neutral speech, because the statement is analyzing and questioning the practice of gender segregation in faith schools based on information from an OFSTED report. It does not express hate, incite violence, or promote harm based on any protected characteristics.",ENT1ST0001HS0033CN000022P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools still that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",Islamophobia,crimes,facts,61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because it is simply stating a fact about a school's actions without promoting hate or inciting violence towards any specific group based on race, gender, ethnicity, religion, nationality, sexual orientation, disability status, or caste.--Neutral speech, because it is challenging the framing of the issue as solely an 'Islamic issue' and suggesting a different perspective without promoting hate or inciting violence towards any specific group based on race, gender, ethnicity, religion, nationality, sexual orientation, disability status, or caste.",ENT1ST0001HS0033CN000023,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because the statement simply describes a situation where girls and boys are separated in a school in Birmingham without promoting hate, violence, or discrimination based on any specific characteristic mentioned in the definitions.--Neutral speech, because the statement is questioning the framing of a situation regarding gender segregation in faith schools and suggesting a different perspective without promoting hate, violence, or discrimination based on any specific characteristic mentioned in the definitions.",ENT1ST0001HS0033CN000023P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because it is simply stating a factual information about a school in Birmingham separating girls from boys based on an Ofsted report and mentioning that such action was deemed illegal by a high court in 2017.--Neutral speech, because it is questioning the framing of the issue as an 'Islamic issue' and suggesting a different perspective based on lack of resources for enforcement, without promoting hate, violence, or harm towards any specific group.",ENT1ST0001HS0033CN000023P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because it is simply stating a fact about a school in Birmingham still segregating girls and boys despite a High Court ruling, without promoting hate, violence, or harm towards any specific group.--Neutral speech, because the speech discusses the issue of gender segregation in faith schools in a critical but non-hateful manner, emphasizing the need for effective mechanisms to uphold standards and legal requirements without promoting hate or violence towards any specific group.",ENT1ST0001HS0033CN000024,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because the statement simply describes a situation where girls and boys are separated in a school in Birmingham without expressing hate, inciting violence, or promoting harm based on any specific characteristic.--Neutral speech, because the speech discusses the topic of gender segregation in faith schools in a neutral and informative manner, without promoting hate, violence, or harm towards any specific group based on their characteristics.",ENT1ST0001HS0033CN000024P1,In Birmingham there is a school where girls and boys are separeted even if it isn't legal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61,male,Bachelor
neutral speech,neutral speech,"Neutral speech, because the speech simply reports on a factual situation regarding a school in Birmingham separating girls from boys, referencing an Ofsted report and a high court ruling without promoting hate or inciting harm towards any group.--Neutral speech, because the speech discusses the issue of gender segregation in faith schools in a critical but non-hateful manner, focusing on the need for effective mechanisms to uphold standards and legal requirements rather than promoting hate or inciting harm towards any specific group.",ENT1ST0001HS0033CN000024P2,A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",Islamophobia,crimes,facts,61,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group (Muslims) based on their religion.--Counter hate speech, because it challenges the hate narrative by emphasizing the need to work together and highlighting that the issue of CSE is not specific to any religion, while also criticizing biased media for scapegoating.",ENT1ST0001HS0046CN000014,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25,male,Bachelor
hate speech,counter hate speech,"hate speech, because it promotes hate towards a specific group (Muslims) by implying they are all involved in criminal activities and suggesting they are being protected by authorities.--counter hate speech, because it challenges the hate narrative by emphasizing the need to work together to address the issue of Child Sexual Exploitation (CSE) without blaming a specific religion or group, and criticizes biased media for scapegoating.",ENT1ST0001HS0046CN000014P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion (Muslims) by labeling them as traitors.--Counter hate speech, because it challenges the hate narrative by emphasizing the need to work together and highlighting that the issue does not stem from any particular religion, while also criticizing biased media for scapegoating.",ENT1ST0001HS0046CN000014P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",Islamophobia,crimes,facts,25,male,Bachelor
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group (Muslims) based on their religion.--Counter hate speech, because it challenges the narrative of the previous hate speech by focusing on the accountability and conviction of the grooming gangs rather than promoting hate or inciting violence against a specific group.",ENT1ST0001HS0046CN000015,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21,female,Master
hate speech,counter hate speech,"Hate speech, because it targets a specific group (Muslims) and implies they are involved in criminal behavior (grooming gangs) while also accusing the government and police of protecting them, inciting hate and promoting negative stereotypes.--Counter hate speech, because it challenges the previous hate speech by acknowledging the convictions of grooming gangs and questioning the idea of police collusion, promoting a more empathetic and factual discussion rather than promoting hate or stereotypes.",ENT1ST0001HS0046CN000015P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21,female,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group (Muslims) based on religion.--Counter hate speech, because it challenges the narrative of the previous hate speech by discussing the issue of grooming gangs in a factual and non-discriminatory manner. It does not promote hate or incite violence against any specific group.",ENT1ST0001HS0046CN000015P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,Islamophobia,crimes,facts,21,female,Master
hate speech,counter hate speech,"hate speech, because it promotes hate and incites violence based on religion (Muslim) and accuses a specific group (police and politicians) of betrayal.--counter hate speech, because it challenges the hate speech by asking for proof and seeking clarification rather than responding with more hate or promoting violence.",ENT1ST0001HS0046CN000016,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,No they are not - prove this?,Islamophobia,crimes,question,25,male,Master
hate speech,counter hate speech,"hate speech, because it promotes hate towards a specific group (Muslims) by implying they are all involved in criminal activities and suggesting a conspiracy involving the government and police.--counter hate speech, because it challenges the hate speech by asking for proof and seeking clarification rather than promoting further hate or violence towards a specific group.",ENT1ST0001HS0046CN000016P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,No they are not - prove this?,Islamophobia,crimes,question,25,male,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence based on religion (Muslims) by labeling them as traitors.--Counter hate speech, because it challenges the previous hate speech by asking for proof and seeking clarification rather than responding with more hate or promoting violence.",ENT1ST0001HS0046CN000016P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,No they are not - prove this?,Islamophobia,crimes,question,25,male,Master
hate speech,counter hate speech,"Hate speech, because it promotes hate and incites violence against a specific group (Muslims) based on their religion.--Counter hate speech, because it challenges the hate narrative by acknowledging a different perspective and emphasizing that the actions of individuals should not be generalized to an entire group.",ENT1ST0001HS0046CN000017,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
hate speech,counter hate speech,"hate speech, because it promotes hate towards a specific group (Muslims) by implying they are all involved in criminal activities and are being protected by authorities.--counter hate speech, because it challenges the hate narrative by acknowledging a different perspective and emphasizing that the actions of individuals should not be generalized to the entire group.",ENT1ST0001HS0046CN000017P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"The only cover up I remember was in the Catholic Church, but we remember that the actions of individuals do not reflect on the whole.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
